numero,t,HDD1,HDD2,G1,G2,P1,P2,C,
1,13,13.15,6.71,37.05,4.36,11.92,17.17,1.081.303.050.840.981.42
2,21,13.75,6.46,37.65,4.36,11.92,15.98,1.131.253.100.840.981.32
3,29,15.52,6.97,38.83,5.37,14.30,16.58,1.281.353.201.041.181.37
4,36,13.75,6.71,37.65,5.11,13.11,16.58,1.131.303.100.991.081.37
5,42,14.93,7.22,38.83,4.61,12.52,17.76,1.231.403.200.891.031.46
6,48,15.52,6.97,37.65,5.87,13.11,17.76,1.281.353.101.141.081.46
7,55,13.75,7.22,38.24,4.61,11.92,18.35,1.131.403.150.890.981.51
8,62,14.34,7.22,37.65,5.11,11.92,17.17,1.181.403.100.990.981.42
9,68,16.12,7.47,38.24,5.37,12.52,17.76,1.331.453.151.041.031.46
10,74,14.93,6.46,39.43,4.36,12.52,18.35,1.231.253.250.841.031.51
11,83,16.12,6.71,37.05,5.37,12.52,16.58,1.331.303.051.041.031.37
12,90,14.34,6.97,37.65,5.11,13.11,17.17,1.181.353.100.991.081.42
13,96,13.15,7.47,37.65,4.86,13.11,18.35,1.081.453.100.941.081.51
14,103,13.15,6.46,37.65,4.86,13.11,16.58,1.081.253.100.941.081.37
15,110,14.93,7.47,37.05,5.62,12.52,17.76,1.231.453.051.091.031.46
16,116,14.34,6.71,39.43,5.11,14.30,17.17,1.181.303.250.991.181.42
17,122,13.15,6.71,37.05,4.86,10.74,18.35,1.081.303.050.940.891.51
18,131,16.71,7.22,38.83,4.61,13.70,17.17,1.381.403.200.891.131.42
19,138,13.75,7.22,37.65,5.11,13.70,17.17,1.131.403.100.991.131.42
20,145,12.56,7.47,40.61,5.11,14.30,18.35,1.041.453.350.991.181.51
21,151,14.93,6.71,40.02,4.61,11.92,17.76,1.231.303.300.890.981.46
22,158,14.93,6.71,37.05,4.61,12.52,15.98,1.231.303.050.891.031.32
23,164,14.34,6.71,37.65,5.37,13.11,17.76,1.181.303.101.041.081.46
24,170,14.93,7.22,38.24,5.37,13.70,17.17,1.231.403.151.041.131.42
25,177,13.15,6.71,37.65,4.10,11.92,17.76,1.081.303.100.800.981.46
26,187,15.52,6.71,36.46,5.11,13.11,19.54,1.281.303.010.991.081.61
27,193,14.93,6.97,38.83,4.61,11.92,18.35,1.231.353.200.890.981.51
28,199,14.93,7.47,37.65,4.61,13.70,16.58,1.231.453.100.891.131.37
29,206,15.52,7.22,37.65,5.37,13.70,18.35,1.281.403.101.041.131.51
30,212,15.52,6.97,37.65,4.86,13.11,17.17,1.281.353.100.941.081.42
31,218,13.15,6.97,38.24,4.61,11.92,17.76,1.081.353.150.890.981.46
32,225,16.71,7.47,40.02,5.37,14.30,18.35,1.381.453.301.041.181.51
33,232,14.93,7.22,38.83,5.37,12.52,18.35,1.231.403.201.041.031.51
34,241,14.93,7.22,38.24,4.61,12.52,18.35,1.231.403.150.891.031.51
35,247,16.12,7.47,40.02,5.62,13.11,15.98,1.331.453.301.091.081.32
36,254,13.15,7.22,38.83,4.86,15.48,17.17,1.081.403.200.941.281.42
37,260,12.56,6.97,38.83,4.86,11.33,18.35,1.041.353.200.940.931.51
38,266,15.52,7.22,37.65,5.11,13.11,17.76,1.281.403.100.991.081.46
39,274,14.34,6.71,38.24,4.86,13.11,15.98,1.181.303.150.941.081.32
40,280,16.12,6.71,37.65,5.11,13.70,18.35,1.331.303.100.991.131.51
41,289,14.93,6.97,38.24,4.86,14.89,18.35,1.231.353.150.941.231.51
42,295,13.15,7.22,38.24,5.11,12.52,15.98,1.081.403.150.991.031.32
43,302,13.75,6.97,37.65,4.10,13.11,18.95,1.131.353.100.801.081.56
44,308,15.52,6.71,40.02,5.11,13.11,17.76,1.281.303.300.991.081.46
45,316,14.34,7.47,36.46,4.86,12.52,17.17,1.181.453.010.941.031.42
46,322,13.15,6.46,37.65,4.86,14.89,18.35,1.081.253.100.941.231.51
47,328,14.93,7.22,38.83,5.37,13.70,18.35,1.231.403.201.041.131.51
48,335,14.34,7.22,37.65,4.61,11.33,15.39,1.181.403.100.890.931.27
49,343,14.34,6.71,37.05,5.37,13.11,15.98,1.181.303.051.041.081.32
50,350,14.93,6.97,38.83,4.61,12.52,17.76,1.231.353.200.891.031.46
